,independence_year,population,life_expectancy,gnp,gnp_old
51,1902.0,11201000,76.2,17843.0,18862.0
52,,2500,,0.0,
53,,38000,78.9,1263.0,1186.0
54,1960.0,754700,76.7,9333.0,8246.0
55,1993.0,10278100,74.5,55017.0,52037.0
56,1955.0,82164700,77.4,2133367.0,2102826.0
57,1977.0,638000,50.8,382.0,373.0
58,1978.0,71000,73.4,256.0,243.0
59,800.0,5330000,76.5,174099.0,169264.0
60,1844.0,8495000,73.2,15846.0,15076.0
61,1962.0,31471000,69.7,49982.0,46966.0
62,1822.0,12646000,71.1,19770.0,19769.0
63,1922.0,68470000,63.3,82710.0,75617.0
64,1993.0,3850000,55.8,650.0,755.0
65,,293000,49.8,60.0,
66,1492.0,39441700,78.8,553233.0,532031.0
67,1991.0,1439200,69.5,5328.0,3371.0
68,-1000.0,62565000,45.2,6353.0,6180.0
69,1917.0,5171300,77.4,121914.0,119833.0
70,1970.0,817000,67.9,1536.0,2149.0
71,,2000,,0.0,
72,843.0,59225700,78.8,1424285.0,1392448.0
73,,43000,78.4,0.0,
74,1990.0,119000,68.6,212.0,
75,1960.0,1226000,50.1,5493.0,5279.0
76,1066.0,59623400,77.7,1378330.0,1296830.0
77,1991.0,4968000,64.5,6064.0,5924.0
78,1957.0,20212000,57.4,7137.0,6884.0
79,,25000,79.0,258.0,
80,1958.0,7430000,45.6,2352.0,2383.0
81,,456000,77.0,3501.0,
82,1965.0,1305000,53.2,320.0,325.0
83,1974.0,1213000,49.0,293.0,272.0
84,1968.0,453000,53.6,283.0,542.0
85,1830.0,10545700,78.4,120724.0,119946.0
86,1974.0,94000,64.5,318.0,
87,,56000,68.1,0.0,
88,1821.0,11385000,66.2,19008.0,17797.0
89,,181000,76.1,681.0,
90,,168000,77.8,1197.0,1136.0
91,1966.0,861000,64.0,722.0,743.0
92,,6782000,79.5,166448.0,173610.0
93,,0,,0.0,
94,1838.0,6485000,69.9,5333.0,4697.0
95,1991.0,4473000,73.7,20208.0,19300.0
96,1804.0,8222000,49.2,3459.0,3107.0
97,1918.0,10043200,71.4,48267.0,45914.0
98,1945.0,212107000,68.0,84982.0,215002.0
99,1947.0,1013662000,62.5,447114.0,430572.0
100,,0,,0.0,
101,1921.0,3775100,76.8,75921.0,73132.0
102,1906.0,67702000,69.7,195746.0,160151.0
103,1932.0,23115000,66.5,11500.0,
104,1944.0,279000,79.4,8255.0,7474.0
105,1948.0,6217000,78.6,97477.0,98577.0
106,1861.0,57680000,79.0,1161755.0,1145372.0
107,1962.0,2583000,75.2,6871.0,6722.0
108,1946.0,5083000,77.4,7526.0,7051.0
109,-660.0,126714000,80.7,3787042.0,4192638.0
110,1991.0,16223000,63.2,24375.0,23383.0
111,1963.0,30080000,48.0,9217.0,10241.0
112,1991.0,4699000,63.4,1626.0,1767.0
113,1953.0,11168000,56.5,5121.0,5670.0
114,1979.0,83000,59.8,40.7,
115,1983.0,38000,70.7,299.0,
116,1948.0,46844000,74.4,320749.0,442544.0
117,1961.0,1972000,76.1,27037.0,30373.0
118,1953.0,5433000,53.1,1292.0,1746.0
119,1941.0,3282000,71.3,17121.0,15129.0
120,1847.0,3154000,51.0,2012.0,
121,1951.0,5605000,75.5,44806.0,40562.0
122,1979.0,154000,72.3,571.0,
123,1806.0,32300,78.8,1119.0,1084.0
124,1948.0,18827000,71.8,15706.0,15091.0
125,1966.0,2153000,50.8,1061.0,1161.0
126,1991.0,3698500,69.1,10692.0,9585.0
127,1867.0,435700,77.1,16321.0,15519.0
